Description	ID	>AT	>Cc	>So
Organisms_order_>AT_>Cc_>So	291	0	1	0
Organisms_order_>AT_>Cc_>So	295	1	0	0
Organisms_order_>AT_>Cc_>So	297	1	1	1
Organisms_order_>AT_>Cc_>So	304	2	1	1
Organisms_order_>AT_>Cc_>So	305	2	1	1
Organisms_order_>AT_>Cc_>So	309	1	0	1
Organisms_order_>AT_>Cc_>So	312	2	1	2
Organisms_order_>AT_>Cc_>So	313	2	0	1
Organisms_order_>AT_>Cc_>So	320	1	2	1
Organisms_order_>AT_>Cc_>So	321	0	1	0
Organisms_order_>AT_>Cc_>So	324	1	2	1
Organisms_order_>AT_>Cc_>So	325	2	0	1
Organisms_order_>AT_>Cc_>So	327	3	0	0
Organisms_order_>AT_>Cc_>So	332	0	1	1
Organisms_order_>AT_>Cc_>So	333	3	1	1
Organisms_order_>AT_>Cc_>So	334	1	1	1
Organisms_order_>AT_>Cc_>So	336	2	1	1
Organisms_order_>AT_>Cc_>So	340	1	1	1
Organisms_order_>AT_>Cc_>So	343	0	1	2
Organisms_order_>AT_>Cc_>So	345	0	0	1
Organisms_order_>AT_>Cc_>So	349	1	0	0
Organisms_order_>AT_>Cc_>So	350	0	0	1
Organisms_order_>AT_>Cc_>So	354	1	0	1
Organisms_order_>AT_>Cc_>So	357	0	0	1
Organisms_order_>AT_>Cc_>So	358	2	0	1
Organisms_order_>AT_>Cc_>So	360	1	0	1
Organisms_order_>AT_>Cc_>So	362	0	1	0
Organisms_order_>AT_>Cc_>So	363	1	1	0
Organisms_order_>AT_>Cc_>So	364	2	1	1
Organisms_order_>AT_>Cc_>So	367	1	1	1
Organisms_order_>AT_>Cc_>So	368	0	0	1
Organisms_order_>AT_>Cc_>So	371	1	1	0
Organisms_order_>AT_>Cc_>So	374	4	2	3
Organisms_order_>AT_>Cc_>So	377	2	1	1
Organisms_order_>AT_>Cc_>So	382	1	0	0
Organisms_order_>AT_>Cc_>So	384	0	1	1
Organisms_order_>AT_>Cc_>So	385	0	0	2
Organisms_order_>AT_>Cc_>So	390	1	1	1
Organisms_order_>AT_>Cc_>So	392	2	0	0
Organisms_order_>AT_>Cc_>So	396	2	0	0
Organisms_order_>AT_>Cc_>So	397	0	0	1
Organisms_order_>AT_>Cc_>So	398	1	0	0
Organisms_order_>AT_>Cc_>So	399	2	0	0
Organisms_order_>AT_>Cc_>So	400	3	0	2
Organisms_order_>AT_>Cc_>So	402	1	1	1
Organisms_order_>AT_>Cc_>So	404	0	0	1
Organisms_order_>AT_>Cc_>So	411	0	0	1
Organisms_order_>AT_>Cc_>So	415	4	2	1
Organisms_order_>AT_>Cc_>So	418	0	1	3
Organisms_order_>AT_>Cc_>So	419	1	1	1
Organisms_order_>AT_>Cc_>So	422	2	1	1
Organisms_order_>AT_>Cc_>So	423	2	1	2
Organisms_order_>AT_>Cc_>So	425	1	0	0
Organisms_order_>AT_>Cc_>So	428	1	1	1
Organisms_order_>AT_>Cc_>So	431	5	1	2
Organisms_order_>AT_>Cc_>So	436	0	0	1
Organisms_order_>AT_>Cc_>So	438	1	0	0
Organisms_order_>AT_>Cc_>So	440	17	6	7
Organisms_order_>AT_>Cc_>So	444	1	1	0
Organisms_order_>AT_>Cc_>So	445	0	0	1
Organisms_order_>AT_>Cc_>So	449	0	1	0
Organisms_order_>AT_>Cc_>So	452	0	0	1
Organisms_order_>AT_>Cc_>So	453	0	1	0
Organisms_order_>AT_>Cc_>So	457	0	1	1
Organisms_order_>AT_>Cc_>So	460	1	0	0
Organisms_order_>AT_>Cc_>So	462	1	1	1
Organisms_order_>AT_>Cc_>So	463	1	1	2
Organisms_order_>AT_>Cc_>So	465	0	1	0
Organisms_order_>AT_>Cc_>So	468	1	1	1
