unspecified,records,790,sequence size, 30727978,comment,49
minimum length,number of contigs,cumulative sequence
13739,500,28.86915,
13747,499,28.855411,
13943,498,28.841664,
13973,497,28.827721,
13981,496,28.813748,
14279,495,28.799767,
14305,494,28.785488,
14321,493,28.771183,
14332,492,28.756862,
14523,491,28.74253,
14539,490,28.728007,
14561,489,28.713468,
14567,488,28.698907,
14642,487,28.68434,
14656,486,28.669698,
14687,485,28.655042,
14717,484,28.640355,
14744,483,28.625638,
14822,482,28.610894,
14970,481,28.596072,
15029,480,28.581102,
15047,479,28.566073,
15056,478,28.551026,
15097,477,28.53597,
15535,476,28.520873,
15583,475,28.505338,
15814,473,28.474172,
15829,472,28.458358,
15834,471,28.442529,
15907,470,28.426695,
15934,469,28.410788,
15991,468,28.394854,
16035,467,28.378863,
16205,466,28.362828,
16419,465,28.346623,
16430,464,28.330204,
16614,463,28.313774,
16660,462,28.29716,
16797,461,28.2805,
16868,460,28.263703,
16873,459,28.246835,
16892,458,28.229962,
16904,457,28.21307,
16974,456,28.196166,
17026,455,28.179192,
17136,454,28.162166,
17189,453,28.14503,
17219,452,28.127841,
17299,451,28.110622,
17347,450,28.093323,
17545,449,28.075976,
17575,448,28.058431,
17601,447,28.040856,
17647,446,28.023255,
17753,445,28.005608,
17778,444,27.987855,
17853,443,27.970077,
17947,442,27.952224,
17951,441,27.934277,
18099,440,27.916326,
18258,439,27.898227,
18318,438,27.879969,
18470,437,27.861651,
18547,436,27.843181,
18596,435,27.824634,
18782,434,27.806038,
18818,433,27.787256,
18830,432,27.768438,
18841,431,27.749608,
18910,430,27.730767,
18979,429,27.711857,
19126,428,27.692878,
19340,427,27.673752,
19352,426,27.654412,
19365,425,27.63506,
19370,424,27.615695,
19420,423,27.596325,
19426,422,27.576905,
19618,421,27.557479,
19633,420,27.537861,
19742,419,27.518228,
19802,418,27.498486,
19807,417,27.478684,
19818,416,27.458877,
19888,415,27.439059,
19944,414,27.419171,
19980,413,27.399227,
20007,412,27.379247,
20136,411,27.35924,
20241,410,27.339104,
20279,409,27.318863,
20353,408,27.298584,
20432,407,27.278231,
20688,406,27.257799,
20773,405,27.237111,
20840,404,27.216338,
20857,403,27.195498,
20963,402,27.174641,
21016,401,27.153678,
21056,400,27.132662,
21070,399,27.111606,
21102,398,27.090536,
21204,397,27.069434,
21237,396,27.04823,
21320,395,27.026993,
21420,394,27.005673,
21442,393,26.984253,
21498,392,26.962811,
21509,391,26.941313,
21526,390,26.919804,
21547,389,26.898278,
21551,388,26.876731,
21594,387,26.85518,
21610,386,26.833586,
21635,385,26.811976,
21654,384,26.790341,
21759,383,26.768687,
21772,382,26.746928,
21898,381,26.725156,
22081,380,26.703258,
22088,379,26.681177,
22178,378,26.659089,
22207,377,26.636911,
22212,376,26.614704,
22303,375,26.592492,
22328,373,26.547886,
22375,372,26.525558,
22384,371,26.503183,
22607,370,26.480799,
22610,369,26.458192,
22659,368,26.435582,
22714,367,26.412923,
22886,366,26.390209,
23220,365,26.367323,
23636,364,26.344103,
23704,363,26.320467,
23705,362,26.296763,
23843,361,26.273058,
23890,360,26.249215,
24129,359,26.225325,
24182,358,26.201196,
24393,357,26.177014,
24410,356,26.152621,
24452,355,26.128211,
24487,354,26.103759,
24661,353,26.079272,
24920,352,26.054611,
24967,351,26.029691,
25021,350,26.004724,
25145,349,25.979703,
25256,348,25.954558,
25727,347,25.929302,
25960,346,25.903575,
26315,345,25.877615,
26454,344,25.8513,
26508,343,25.824846,
26807,342,25.798338,
26829,341,25.771531,
26873,340,25.744702,
26947,339,25.717829,
27135,338,25.690882,
27597,337,25.663747,
27829,336,25.63615,
27930,335,25.608321,
27977,334,25.580391,
27981,333,25.552414,
27991,332,25.524433,
28201,331,25.496442,
28665,330,25.468241,
28705,329,25.439576,
28810,328,25.410871,
28890,327,25.382061,
28907,326,25.353171,
29071,325,25.324264,
29474,324,25.295193,
29686,323,25.265719,
29710,322,25.236033,
29736,321,25.206323,
29754,320,25.176587,
29875,319,25.146833,
29964,318,25.116958,
30295,317,25.086994,
30708,316,25.056699,
30808,315,25.025991,
30829,314,24.995183,
31132,313,24.964354,
31297,312,24.933222,
31404,311,24.901925,
31419,310,24.870521,
31463,309,24.839102,
31759,308,24.807639,
31828,307,24.77588,
32001,306,24.744052,
32186,305,24.712051,
32239,304,24.679865,
32347,303,24.647626,
32348,302,24.615279,
32457,301,24.582931,
32459,300,24.550474,
32464,299,24.518015,
32704,298,24.485551,
32904,297,24.452847,
33068,296,24.419943,
33343,295,24.386875,
33871,294,24.353532,
34245,293,24.319661,
34308,292,24.285416,
34625,291,24.251108,
34642,290,24.216483,
34806,289,24.181841,
34875,288,24.147035,
34934,287,24.11216,
35181,286,24.077226,
35505,285,24.042045,
35671,284,24.00654,
35822,283,23.970869,
36360,282,23.935047,
36390,281,23.898687,
36600,280,23.862297,
36629,279,23.825697,
37022,278,23.789068,
37081,277,23.752046,
37529,276,23.714965,
37633,275,23.677436,
37680,274,23.639803,
37683,273,23.602123,
38137,272,23.56444,
38163,271,23.526303,
38261,270,23.48814,
38503,269,23.449879,
38725,268,23.411376,
39030,267,23.372651,
39177,266,23.333621,
39282,265,23.294444,
39328,264,23.255162,
39429,263,23.215834,
39615,262,23.176405,
39858,261,23.13679,
39921,260,23.096932,
39977,259,23.057011,
40109,258,23.017034,
40222,257,22.976925,
40777,256,22.936703,
40841,255,22.895926,
40853,254,22.855085,
40904,253,22.814232,
41144,252,22.773328,
41162,251,22.732184,
41169,250,22.691022,
41709,249,22.649853,
